"bairro","location","preco","quartos","m2","corretora","data","link","pm2"
"Asa Norte ","SQN 116 ",610000,2,65,"12268",2014-01-15,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-116-995579",9384.61538461538
"Asa Sul ","SQS 403 ",610000,3,80,"2146",2014-01-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-403-810153",7625
"Asa Norte ","SQN 405 - 03 QUARTOS - REFORMADO",610000,3,78,"13933",2014-01-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1158857",7820.51282051282
"Asa Norte ","SQN 405 ATEN??O!VAMOS V? E LAN?AR SUA PROPOSTA?",610000,3,80,"11019",2014-01-11,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1158799",7625
"Asa Norte ","SQN 403 DE CANTO, DESOCUPADO  RWF",610000,3,79,"8066",2014-01-09,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-403-180636",7721.51898734177
"Asa Norte ","SQN 411 03 QTOS, DESOCUPADO - RWF",610000,3,94,"8066",2014-01-08,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-571932",6489.36170212766
"Asa Norte ","SQN 406 1 ANDAR-LIGUE 9133-6434",610000,3,90,"7148",2014-01-07,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-406-997688",6777.77777777778
"Asa Norte ","SQN 405 2 ANDAR - LIGUE-9133-6434",610000,3,78,"7148",2014-01-07,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1097293",7820.51282051282
"Asa Norte ","SQN 405 - RICO EM ARM?RIOS - BLOCO REFORMADO",610000,3,80,"13933",2014-01-06,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1069074",7625
"Asa Norte ","SQN 116 ",610000,2,69.8,"2146",2014-01-05,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-116-782491",8739.25501432665
"Asa Norte ","SQN 405 ",610000,3,80,"12268",2014-01-03,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1043963",7625
"Asa Norte ","SQN 409 VAZADO",610000,4,100,"4522",2013-12-20,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-1054637",6100
"Asa Norte ","SQN 405 ",610000,3,79,"9706",2013-12-19,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1155378",7721.51898734177
"Sudoeste ","QRSW 01 NASCENTE VAZADO / 8301-7361",610000,3,74,"12180",2013-12-16,"/imovel/venda-apartamento-brasilia-df-3-quartos-qrsw-01-865124",8243.24324324324
"Asa Sul ","SQS 408 REFORMADO / 8156-8764",610000,3,76,"12180",2013-12-16,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-408-916677",8026.31578947368
"Sudoeste ","QRSW 01 - NASCENTE - DESOCUPADO - 2? ANDAR",610000,3,75,"13933",2013-12-16,"/imovel/venda-apartamento-brasilia-df-3-quartos-qrsw-01-868464",8133.33333333333
"Asa Norte ","SQN 405 DESOCUPADO, NASCENTE, 2? ANDAR NICE 8493-1601",610000,3,78,"11018",2013-12-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1054621",7820.51282051282
"Asa Norte ","SQN 406 >> REFORMADO - SU?TE",610000,3,80,"18222",2013-12-02,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-406-701980",7625
"Asa Norte ","SQN 312 EXCELENTE! 9529-4141",615000,3,91,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-1002042",6758.24175824176
"Asa Norte ","SQN 215 REFORMADO, V. LIVRE, GARAGEM, AO LADO DO PARQUE",615000,2,74,"11983",2014-01-28,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-1002611",8310.81081081081
"Asa Sul ","TRECHO SCES TRECHO 04 BRISAS DO LAGO - NASCENTE - 9184 7787",615000,1,40.45,"14601",2013-12-25,"/imovel/venda-apartamento-brasilia-df-1-quarto-trecho-sces-trecho-04-887928",15203.955500618
"Asa Norte ","SQN 411 IMPERD?VEL ! ?TIMA OPORTUNIDADE EXCTE PRE?O R$$",615000,3,96,"7037",2013-12-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-716742",6406.25
"Asa Norte ","SQN 411 - NASCENTE - PR?DIO REFORMADO",615000,3,95,"13933",2013-12-09,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-1012121",6473.68421052632
"Asa Norte ","SQN 406 ",617000,3,78,"12268",2014-01-15,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-406-999768",7910.25641025641
"Asa Sul ","TRECHO SCES TRECHO 04 PRONTO PARA MORAR",618000,1,48,"17001",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-trecho-sces-trecho-04-1104631",12875
"Asa Sul ","TRECHO SCES TRECHO 04 PRONTO PARA MORAR",618000,1,48,"17001",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-trecho-sces-trecho-04-867205",12875
"Asa Norte ","SQN 310 N?O PERCA!! 6? ANDAR, VISTA LIVRE, GARAGEM",618000,2,65,"11983",2014-01-22,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-310-280660",9507.69230769231
"Asa Sul ","SQS 410 ",619000,3,90,"11476",2013-12-26,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-410-811352",6877.77777777778
"Asa Norte ","SQN 411 IMPERD?VEL!VAZADO 03 QTOS DCE EXCTE PRE?O R$$",619000,3,96,"7037",2013-12-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-604018",6447.91666666667
"Asa Sul ","SQS 405 OTIMA QUADRA - PLANTAO 8110-4776",620000,3,81,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-405-652825",7654.32098765432
"Asa Norte ","SQN 215 BLOCO G ** EXCELENTE **",620000,2,68,"7107",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-bloco-g-828830",9117.64705882353
"Asa Norte ","SQN 215 BLOCO G SQN 215 - PREDIO E APTO  REFORMADOS -",620000,2,69,"11536",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-bloco-g-1161495",8985.50724637681
"Asa Norte ","SQN 409 OPORTUNIDADE",620000,4,100,"4522",2014-01-27,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-1110942",6200
"Asa Norte ","SQN 409 ",620000,3,95,"10589",2014-01-25,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-409-1163064",6526.31578947368
"Asa Sul ","SQS 116 ",620000,2,65.77,"3545",2014-01-23,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqs-116-1118405",9426.79032993766
"Asa Sul ","SQS 116 BLOCO J ",620000,2,65.77,"20331",2014-01-22,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqs-116-bloco-j-1161238",9426.79032993766
"Asa Norte ","SQN 312 GARAGEM,SUITE , OPORTUNIDADE!!",620000,3,96,"18066",2014-01-22,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-583606",6458.33333333333
"Asa Sul ","SQS 405 - ?TIMA LOCALIZA??O - VISTA LIVRE -",620000,3,81,"13933",2014-01-22,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-405-902078",7654.32098765432
"Sudoeste ","SQSW 101 BLOCO H ",620000,2,57,"18887",2014-01-20,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-101-bloco-h-1161194",10877.1929824561
"Asa Norte ","SQN 404 NASCENTE,  SUITE,ACEITA FINANCIAMENTO",620000,3,79,"18066",2014-01-20,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-404-368967",7848.10126582278
"Asa Norte ","SQN 314 ANDAR ALTO, NASCENTE, CANTO.",620000,2,64,"8247",2014-01-16,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-314-247125",9687.5
"Asa Norte ","SQN 407 TROCO POR 03 QTS  NA 100/200/300 OU 700 NORTE",620000,3,78,"16005",2014-01-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-407-901972",7948.71794871795
"Asa Norte ","SQN 312 BLOCO B ",620000,3,87,"9422",2014-01-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-bloco-b-918145",7126.4367816092
"Asa Norte ","SQN 409 ",620000,4,100,"12268",2014-01-09,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-1036590",6200
"Asa Norte ","SQN 312 NASCENTE,COM GARAGEM",620000,3,96,"11019",2014-01-08,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-892569",6458.33333333333
"Asa Norte ","SQN 215 - GARAGEM - ELEVADOR",620000,2,74,"20339",2014-01-06,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-903337",8378.37837837838
"Asa Norte ","SQN 405 ",620000,3,95,"5295",2014-01-05,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-394234",6526.31578947368
"Asa Norte ","SQN 416 BLOCO I ",620000,2,70,"198",2014-01-02,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-416-bloco-i-1156830",8857.14285714286
"Asa Norte ","SQN 312 BLOCO J ***ACEITA PROPOSTA***",620000,3,96,"1691",2014-01-02,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-bloco-j-883088",6458.33333333333
"Asa Norte ","SQN 210 BLOCO F ",620000,2,88,"1043",2013-12-23,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-210-bloco-f-1156015",7045.45454545455
"Asa Norte ","SQN 409 BLOCO L ",620000,3,95,"1703",2013-12-23,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-409-bloco-l-1155647",6526.31578947368
"Asa Sul ","SQS 416 REFORMADO VISTA LIVRE / 8301-7361",620000,3,78,"12180",2013-12-16,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-416-875915",7948.71794871795
"Asa Sul ","SQS 403 REFORMADO NASCENTE 81258765",620000,3,78,"12180",2013-12-16,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-403-931727",7948.71794871795
"Asa Norte ","SQN 409 OPORTUNIDADE VAZADO",620000,4,100,"4522",2013-12-16,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-980837",6200
"Asa Norte ","SQN 409 (4 QTOS PELO PRE?O DE 3 QTOS)",620000,3,100,"4522",2013-12-16,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-409-985059",6200
"Asa Norte ","SQN 409 OPORTUNIDADE ?NICA (VAZADO)",620000,4,100,"4522",2013-12-16,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-985004",6200
"Asa Norte ","SQN 409 VAZADO (PRE?O DE 3 QUARTOS)",620000,4,100,"4522",2013-12-16,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-982579",6200
"Asa Norte ","SQN 411 ",620000,3,95,"12268",2013-12-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-540491",6526.31578947368
"Asa Norte ","SQN 406 IMPERD?VEL 3 QUARTOS EXCTE PRE?O!!!",620000,3,95,"7037",2013-12-06,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-406-797981",6526.31578947368
"Noroeste ","SQNW VIA SOHO 01 QTO 100% RESIDENCIAL, AP 212! 9988-0415",620000,1,39.92,"11546",2014-01-19,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqnw-467972",15531.0621242485
"Asa Norte ","SQN 215 BLOCO B ?TIMA OPORTUNIDADE",621000,2,64,"9182",2014-01-06,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-bloco-b-725159",9703.125
"Asa Norte ","SQN 412 IMPERD?VEL! VAZADO 03 QTOS DCE ARMS EXCTE PRE?O R$$",624000,3,97,"7037",2013-12-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-412-604022",6432.98969072165
"Asa Norte ","SQN 409 ",624999,4,100,"5377",2014-01-27,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-71340",6249.99
"Sudoeste ","SQSW 105 * LINDO * REFORMADO * PLANEJADO",625000,2,65,"5915",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-1164004",9615.38461538462
"Asa Norte ","SQN 411 ",625000,3,95,"17001",2014-01-28,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-999130",6578.94736842105
"Sudoeste ","CCSW 03 LINDO , TODO REFORMADO",625000,2,72,"11397",2014-01-28,"/imovel/venda-apartamento-brasilia-df-2-quartos-ccsw-03-868158",8680.55555555555
"Sudoeste ","SQSW 105 2 QUARTOS - 65 METROS - 625 MIL",625000,2,65,"10930",2014-01-27,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-1162316",9615.38461538462
"Asa Norte ","SQN 411 ",625000,4,94,"20081",2013-12-17,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-411-711430",6648.93617021277
"Asa Norte ","SQN 411 IMPERD?VEL 03 QTOS EXCTE PRE?O R$$",625000,3,96,"7037",2013-12-13,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-604032",6510.41666666667
"Sudoeste ","CCSW 02 ED GERALDO CARNEIRO - LINDO! SUITE, CANTO, REFORMADO,",626000,2,60.22,"19637",2014-01-05,"/imovel/venda-apartamento-brasilia-df-2-quartos-ccsw-02-750868",10395.2175357024
"Sudoeste ","SQSW 303 EXCELENTE PLANTA",629000,2,73,"18220",2014-01-25,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-303-1156383",8616.43835616438
"Sudoeste ","SQSW 105 ",629000,2,64.93,"8498",2014-01-24,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-1162759",9687.35561373787
"Sudoeste ","CCSW 04 ARM?RIOS,58M?,STE, ACADEMIA. 8121-5427 .",630000,2,58,"19420",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-ccsw-04-1157625",10862.0689655172
"Sudoeste ","CLSW 300B ED. LINCOLN - AC FINANCIAMENTO",630000,2,60,"9451",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-clsw-300b-985415",10500
"Asa Norte ","SCRN 704/705 3QTOS MUITO BEM CONSERVADO",630000,3,85,"10584",2014-01-29,"/imovel/venda-apartamento-brasilia-df-3-quartos-scrn-704-705-1082941",7411.76470588235
"Asa Norte ","SQN 209 BLOCO C DESOCUPADO COM GARAGEM",630000,2,59,"1700",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-209-bloco-c-1041665",10677.9661016949
"Asa Norte ","SQN 116 8464-5958",630000,2,70,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-116-1097279",9000
"Sudoeste ","SQSW 301 NASCENTE E VISTA LIVRE!!!!!!",630000,2,63,"3384",2014-01-28,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-301-528744",10000
"Asa Norte ","SQN 406 1? ANDAR, REFORMADO 9611-8184 !!",630000,3,78,"275",2014-01-28,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-406-869762",8076.92307692308
"Asa Sul ","SQS 407 LINDO , REFORMADISSIMO",630000,3,90,"11397",2014-01-28,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-407-659856",7000
"Asa Norte ","SQN 409 ?TIMO IM?VEL",630000,4,100,"16711",2014-01-26,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-1034912",6300
"Asa Sul ","TRECHO SCES TRECHO 04 BRISAS DO LAGO! AGENDE SUA VISITA 9144-",630000,1,59.93,"16964",2014-01-25,"/imovel/venda-apartamento-brasilia-df-1-quarto-trecho-sces-trecho-04-1073606",10512.2643083598
"Asa Norte ","SETOR SHTN BRISAS DO LAGO! AGENDE SUA VISITA 9144-7676",630000,1,59.93,"16964",2014-01-24,"/imovel/venda-apartamento-brasilia-df-1-quarto-setor-shtn-1078103",10512.2643083598
"Asa Sul ","SQS 403 REFORMADO, VISTA LIVRE, VAZADO",630000,3,86,"11983",2014-01-22,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-403-1101927",7325.58139534884
"Asa Norte ","SQN 411 EXCLUSIVO!!!VISTA LIVRE MARAVILHOSO 95595421",630000,4,79,"10763",2014-01-20,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-411-842175",7974.6835443038
"Asa Norte ","SQN 415 BLOCO B :: SQN 415 - 3 QTOS, NASC., VAZADO NO PLANO!",630000,3,76,"11763",2014-01-20,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-415-bloco-b-897525",8289.47368421053
"Asa Norte ","SQN 215 ",630000,2,70,"9807",2014-01-10,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-1158446",9000
"Asa Norte ","SQN 407 ",630000,3,78,"8066",2014-01-07,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-407-1012273",8076.92307692308
"Asa Norte ","SQN 312 ANDAR ALTO COM VISTA LIVRE",630000,3,80,"4996",2014-01-02,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-1156953",7875
"Asa Norte ","SQN 405 >> 1? ANDAR REFORMADO",630000,3,87,"18222",2013-12-27,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-794095",7241.37931034483
"Asa Norte ","SQN 405 ",630000,3,75,"12268",2013-12-10,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-565372",8400
"Asa Sul ","SQS 403 >> 2? ANDAR, VAZADO",630000,3,80,"18222",2013-12-02,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-403-1101628",7875
"Asa Sul ","SQS 409 TODO REFORMADO, SU?TE, 1? ANDAR!!!",635000,3,103,"11983",2014-01-28,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-409-1149015",6165.04854368932
"Asa Sul ","SQS 406 BLOCO REFORMADO",635000,3,81,"14457",2014-01-27,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-406-980069",7839.50617283951
"Asa Norte ","SQN 415 ",635000,3,78,"7925",2014-01-25,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-415-1157086",8141.02564102564
"Asa Norte ","SQN 409 TOTALMENTE REFORMADO 8114-4444",635000,3,95,"7139",2014-01-24,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-409-951628",6684.21052631579
"Asa Norte ","SQN 411 BLOCO M REFORMADO! COM ARM?RIOS!",635000,3,95,"4232",2014-01-04,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-bloco-m-1156823",6684.21052631579
"Asa Norte ","SQN 215 BLOCO G ",635000,2,70,"13602",2013-12-22,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-bloco-g-1107332",9071.42857142857
"Noroeste ","SQNW 309 BLOCO H PIGOT 2 E3 QTOS PRONTO MORAR LAZER COMPLETO",638000,2,70.56,"9669",2014-01-24,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqnw-309-bloco-h-1157340",9041.95011337869
"Asa Norte ","SQN 409 OPORTUNIDADE,4 QTOS COM PRE?O REDUZIDO 8633-4369",639000,4,100,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-762077",6390
"Asa Norte ","SQN 409 OPORTUNIDADE,4 QTOS COM PRE?O REDUZIDO 8633-4369",639000,3,100,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-409-789259",6390
"Asa Norte ","SCLRN 713 LINDO APARTAMENTO E ACONCHEGANTE 8190 2401",639000,3,112,"17268",2014-01-23,"/imovel/venda-apartamento-brasilia-df-3-quartos-sclrn-713-1155821",5705.35714285714
"Asa Norte ","SQN 409 N?O PERCA!! NASCENTE, REFORMADO, VAZADO, V.LIVRE",639000,4,100,"11983",2014-01-22,"/imovel/venda-apartamento-brasilia-df-4-quartos-sqn-409-492125",6390
"Asa Norte ","SHCGN 713 BLOCO H ",639000,3,91,"19683",2014-01-20,"/imovel/venda-apartamento-brasilia-df-3-quartos-shcgn-713-bloco-h-1081537",7021.97802197802
"Asa Norte ","SQN 314 SQN 314 - COBERTURA COLETIVA",640000,2,65,"17001",2014-01-30,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-314-1150901",9846.15384615385
"Sudoeste ","SQSW 303 BLOCO B ED. JOSE BRAGA",640000,2,70,"14360",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-303-bloco-b-391934",9142.85714285714
"Asa Norte ","SQN 309 LINDO!!! EXCLUSIVIDADE FEROLA     TEL. 9212-3818",640000,2,69,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-309-1039643",9275.36231884058
"Asa Norte ","SQN 411 BLOCO Q ",640000,3,92,"11127",2014-01-29,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-411-bloco-q-1158344",6956.52173913043
"Asa Norte ","SQN 314 SQN 314 - COBERTURA COLETIVA",640000,2,65,"17001",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-314-1149312",9846.15384615385
"Asa Norte ","SQN 312 BLOCO B EXCELENTE!!!  9611-8184",640000,3,95.49,"275",2014-01-28,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-bloco-b-608083",6702.27248926589
"Sudoeste ","CCSW 04 NASCENTE!!!",640000,2,59,"11983",2014-01-28,"/imovel/venda-apartamento-brasilia-df-2-quartos-ccsw-04-900497",10847.4576271186
"Asa Sul ","SQS 406 REFORMADO, EXCELENTE PLANTA, 2? ANDAR!!!",640000,3,81,"11983",2014-01-28,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-406-1155148",7901.23456790123
"Sudoeste ","SQSW 105 IMPERD?VEL 02 QTOS 2 WC NASCENTE EXCTE PRE?O",640000,2,62,"7037",2014-01-27,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-596695",10322.5806451613
"Asa Sul ","SQS 410 BLOCO M VAZADO / NASCENTE / VISTA LIVRE",640000,3,86.3,"10115",2014-01-27,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-410-bloco-m-891033",7415.99073001159
"Asa Norte ","SQN 215 VISTA PANOR?MICA",640000,2,70,"18175",2014-01-25,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-858161",9142.85714285714
"Asa Norte ","SQN 215 VISTA LIVRE, ANDAR ALTO",640000,2,70,"11670",2014-01-24,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-215-1162904",9142.85714285714
"Asa Norte ","SETOR SHTN BRISAS DO LAGO!! 9144-7676",640000,2,56.54,"16964",2014-01-24,"/imovel/venda-apartamento-brasilia-df-2-quartos-setor-shtn-1078104",11319.4198797312
"Asa Norte ","SHCGN 709 VISTA LIVRE, VAZADO, AC PERMUTA",640000,3,90.97,"14999",2014-01-24,"/imovel/venda-apartamento-brasilia-df-3-quartos-shcgn-709-1158669",7035.28635814005
"Asa Norte ","SHCGN 709 ACEITO KIT NA ASA NORTE, COM PARTE DO PAGAMENTO!!!",640000,3,91,"10869",2014-01-23,"/imovel/venda-apartamento-brasilia-df-3-quartos-shcgn-709-1078025",7032.96703296703
"Noroeste ","SQNW 108 BOSSA NOVA - JO?O FORTES",640000,2,73.5,"12463",2014-01-22,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqnw-108-1161806",8707.48299319728
"Asa Sul ","SQS 404 1? ANDAR! TODO REFORMADO, C/ SU?TE!!!",640000,3,81,"11983",2014-01-22,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-404-1155028",7901.23456790123
"Sudoeste ","SQSW 105 RES. MADRI - COM ARM?RIOS, COM VISTA",640000,2,68,"2554",2014-01-21,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-1160204",9411.76470588235
"Asa Norte ","SQN 114 ",640000,2,82.83,"7925",2014-01-20,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-114-829777",7726.66908125075
"Asa Sul ","SQS 203 VENDIDO",640000,2,75,"4371",2014-01-15,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqs-203-829654",8533.33333333333
"Sudoeste ","CLSW 300A DUPLEX - VIA PLACE",640000,1,55,"4996",2014-01-15,"/imovel/venda-apartamento-brasilia-df-1-quarto-clsw-300a-1014565",11636.3636363636
"Asa Norte ","SQN 314 ",640000,2,65,"4990",2014-01-14,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqn-314-1159587",9846.15384615385
"Asa Sul ","SQS 407 ",640000,3,90,"2146",2014-01-14,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-407-1159390",7111.11111111111
"Asa Sul ","SQS 404 ",640000,3,88,"2146",2014-01-14,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-404-1159360",7272.72727272727
"Asa Sul ","SQS 409 GRAND?O...DESOCUPADO, REFORMADO!!!",640000,3,95,"3889",2014-01-07,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-409-463823",6736.84210526316
"Asa Sul ","SQS 404 ",640000,3,85,"3889",2014-01-07,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-404-244505",7529.41176470588
"Asa Norte ","SQN 312 ",640000,3,100,"3889",2014-01-07,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-312-397708",6400
"Sudoeste ","SQSW 504 BLOCO F ",640000,2,64.69,"3360",2014-01-03,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-504-bloco-f-868242",9893.33745555727
"Sudoeste ","SQSW 105 BLOCO E VIA MADRI NASCENTE PORCELANATO",640000,2,61,"19681",2013-12-23,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-bloco-e-912770",10491.8032786885
"Sudoeste ","SQSW 101 BLOCO H CANTO NASCENTE",640000,2,57,"10016",2013-12-17,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-101-bloco-h-907401",11228.0701754386
"Noroeste ","SQNW 309 BLOCO A ",640000,2,70.74,"20989",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqnw-309-bloco-a-1155023",9047.21515408538
"Asa Norte ","SQN 405 LINDO APARTAMENTO TODO REFORMADO",643000,3,78,"18716",2014-01-20,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqn-405-1160851",8243.58974358974
"Asa Sul ","SQS 403 BLOCO G REFORMADO",645000,3,80,"9116",2014-01-29,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-403-bloco-g-1164265",8062.5
"Sudoeste ","SQSW 504 AC TROCA  P 3QTOS SUDOESTE -  REFORMADO -  8110-4776",645000,2,68,"11476",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-504-648584",9485.29411764706
"Sudoeste ","SQSW 105 ",645000,2,68,"4151",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-1162134",9485.29411764706
"Asa Sul ","SQS 404 APARTAMENTO REFORMADO, 3 QTS. SENDO 1 SU?TE,COM COZIN",645000,3,90,"17001",2014-01-29,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-404-1080722",7166.66666666667
"Asa Sul ","SQS 404 APTO ESPA?OSO C JANEL?ES",645000,3,88,"16953",2014-01-23,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqs-404-1162178",7329.54545454545
"Sudoeste ","SQSW 105 TODO EM PORCELANATO",645000,2,61,"7063",2014-01-10,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-105-1158510",10573.7704918033
"Sudoeste ","SQSW 504 REFORMADO!! NASCENTE! ACEITA PERMUTA!!",645000,2,65,"12873",2014-01-08,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqsw-504-549432",9923.07692307692
